FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553889858	3553890078
FREE	0x600002451140	0	0	src/server.c:186:4	3553891058	3553891203
MALLOC	0x600002a502a0	37	1	src/logger.c:62:27	3553904489	3553904763
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553908304	3553908459
MALLOC	0x600002451140	17	1	src/server.c:174:14	3553914272	3553914419
MALLOC	0x600002a502a0	48	1	src/logger.c:62:27	3553914816	3553914939
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553917114	3553917241
FREE	0x600002451140	0	0	src/server.c:186:4	3553917902	3553918018
MALLOC	0x600002a502a0	37	1	src/logger.c:62:27	3553925267	3553925437
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553928219	3553928368
MALLOC	0x600002451140	17	1	src/server.c:174:14	3553930984	3553931174
MALLOC	0x600002a502a0	48	1	src/logger.c:62:27	3553931572	3553931692
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553934915	3553935080
FREE	0x600002451140	0	0	src/server.c:186:4	3553935815	3553935931
MALLOC	0x600002a502a0	37	1	src/logger.c:62:27	3553946310	3553946588
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553950939	3553951133
MALLOC	0x600002451140	17	1	src/server.c:174:14	3553954239	3553954433
MALLOC	0x600002a502a0	48	1	src/logger.c:62:27	3553954914	3553955045
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553958541	3553958732
FREE	0x600002451140	0	0	src/server.c:186:4	3553959496	3553959649
MALLOC	0x600002a502a0	37	1	src/logger.c:62:27	3553972417	3553972696
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3553976610	3553976762
MALLOC	0x600002454000	25	1	src/server.c:174:14	3554102454	3554102887
MALLOC	0x600003154300	56	1	src/logger.c:62:27	3554103706	3554103916
FREE	0x600003154300	0	0	src/logger.c:71:5	3554109039	3554109261
MALLOC	0x60000265c120	12	1	src/smtp.c:86:41	3554208210	3554208403
FREE	0x600002454000	0	0	src/server.c:186:4	3554211453	3554211565
MALLOC	0x600002a58000	40	1	src/logger.c:62:27	3554224724	3554224967
FREE	0x600002a58000	0	0	src/logger.c:71:5	3554231018	3554231159
MALLOC	0x600002458060	26	1	src/server.c:174:14	3554242604	3554242857
MALLOC	0x600003158140	57	1	src/logger.c:62:27	3554243324	3554243461
FREE	0x600003158140	0	0	src/logger.c:71:5	3554246179	3554246301
MALLOC	0x600002444000	32	1	src/smtp.c:109:48	3554336365	3554338179
FREE	0x600002458060	0	0	src/server.c:186:4	3554341198	3554341324
MALLOC	0x600002a44000	37	1	src/logger.c:62:27	3554354342	3554354552
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554360415	3554360548
MALLOC	0x600002444020	26	1	src/server.c:174:14	3554363963	3554364090
MALLOC	0x60000315c000	57	1	src/logger.c:62:27	3554364558	3554367061
FREE	0x60000315c000	0	0	src/logger.c:71:5	3554369928	3554370038
MALLOC	0x600002444040	32	1	src/smtp.c:109:48	3554420277	3554420421
FREE	0x600002444020	0	0	src/server.c:186:4	3554422502	3554422610
MALLOC	0x600002a44000	37	1	src/logger.c:62:27	3554431569	3554431784
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554435338	3554435464
MALLOC	0x600002444020	26	1	src/server.c:174:14	3554441955	3554442110
MALLOC	0x60000315c000	57	1	src/logger.c:62:27	3554442483	3554442594
FREE	0x60000315c000	0	0	src/logger.c:71:5	3554444850	3554444964
MALLOC	0x600002444060	32	1	src/smtp.c:109:48	3554476342	3554476457
FREE	0x600002444020	0	0	src/server.c:186:4	3554478312	3554478423
MALLOC	0x600002a44000	37	1	src/logger.c:62:27	3554487080	3554487269
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554490381	3554490511
MALLOC	0x600002444020	25	1	src/server.c:174:14	3554492794	3554492937
MALLOC	0x60000315c000	56	1	src/logger.c:62:27	3554493294	3554493417
FREE	0x60000315c000	0	0	src/logger.c:71:5	3554495540	3554495647
MALLOC	0x600002640190	12	1	src/smtp.c:86:41	3554538300	3554538423
