MALLOC	0x600000e10000	184	1	./include/tree.h:25:39	263	4074
MALLOC	0x600003914060	12	1	src/logger.c:43:40	364031	372863
MALLOC	0x600002e14000	56	1	src/server.c:105:64	23670418644	23670432690
MALLOC	0x600000e14000	184	1	./include/tree.h:25:39	23670438905	23670444441
MALLOC	0x600002e14040	51	1	src/logger.c:62:27	23670445721	23670445895
FREE	0x600002e14040	0	0	src/logger.c:71:5	23670942213	23670942497
MALLOC	0x600002e18180	56	1	src/server.c:105:64	23670981339	23670981589
MALLOC	0x600000e18000	184	1	./include/tree.h:25:39	23670982344	23670984895
MALLOC	0x600002e181c0	51	1	src/logger.c:62:27	23670985840	23670985967
FREE	0x600002e181c0	0	0	src/logger.c:71:5	23670989509	23670989631
MALLOC	0x600002e181c0	56	1	src/server.c:105:64	23671001191	23671001376
MALLOC	0x600000e180c0	184	1	./include/tree.h:25:39	23671001864	23671001962
MALLOC	0x600002e18200	51	1	src/logger.c:62:27	23671002617	23671002703
FREE	0x600002e18200	0	0	src/logger.c:71:5	23671005351	23671005473
MALLOC	0x600002e18200	56	1	src/server.c:105:64	23671015814	23671015985
MALLOC	0x600000e18180	184	1	./include/tree.h:25:39	23671016481	23671016566
MALLOC	0x600002e18240	51	1	src/logger.c:62:27	23671017017	23671017104
FREE	0x600002e18240	0	0	src/logger.c:71:5	23671019544	23671019659
MALLOC	0x600002e18240	56	1	src/server.c:105:64	23671029849	23671030009
MALLOC	0x600000e18240	184	1	./include/tree.h:25:39	23671030494	23671030581
MALLOC	0x600002e18280	51	1	src/logger.c:62:27	23671031021	23671031106
FREE	0x600002e18280	0	0	src/logger.c:71:5	23671033494	23671033614
MALLOC	0x600002e18280	56	1	src/server.c:105:64	23671043472	23671043628
MALLOC	0x600000e18300	184	1	./include/tree.h:25:39	23671044140	23671044227
MALLOC	0x600002e182c0	51	1	src/logger.c:62:27	23671044683	23671044768
FREE	0x600002e182c0	0	0	src/logger.c:71:5	23671047080	23671047205
MALLOC	0x600002e182c0	56	1	src/server.c:105:64	23671057389	23671057554
MALLOC	0x600000e183c0	184	1	./include/tree.h:25:39	23671058039	23671058128
MALLOC	0x600002e18300	51	1	src/logger.c:62:27	23671058621	23671058724
FREE	0x600002e18300	0	0	src/logger.c:71:5	23671061047	23671061165
MALLOC	0x600002e18300	56	1	src/server.c:105:64	23671070791	23671070951
MALLOC	0x600000e18480	184	1	./include/tree.h:25:39	23671071444	23671071544
MALLOC	0x600002e18340	51	1	src/logger.c:62:27	23671072057	23671072184
FREE	0x600002e18340	0	0	src/logger.c:71:5	23671074818	23671074939
MALLOC	0x600002e18340	56	1	src/server.c:105:64	23671085915	23671086101
MALLOC	0x600000e18540	184	1	./include/tree.h:25:39	23671086610	23671086704
MALLOC	0x600002e18380	51	1	src/logger.c:62:27	23671087219	23671087305
FREE	0x600002e18380	0	0	src/logger.c:71:5	23671093452	23671093617
MALLOC	0x600002e18380	56	1	src/server.c:105:64	23671107691	23671107897
MALLOC	0x600000e18600	184	1	./include/tree.h:25:39	23671108429	23671108597
MALLOC	0x600002e183c0	51	1	src/logger.c:62:27	23671109101	23671109189
FREE	0x600002e183c0	0	0	src/logger.c:71:5	23671112924	23671113102
MALLOC	0x600003b14000	17	1	src/server.c:174:14	23675465878	23675466701
MALLOC	0x600003514000	48	1	src/logger.c:62:27	23675467829	23675468163
FREE	0x600003514000	0	0	src/logger.c:71:5	23675475303	23675475843
FREE	0x600003b14000	0	0	src/server.c:186:4	23675481509	23675481628
MALLOC	0x600003514000	37	1	src/logger.c:62:27	23675496177	23675496526
FREE	0x600003514000	0	0	src/logger.c:71:5	23675501912	23675502098
MALLOC	0x600003b1c000	17	1	src/server.c:174:14	23682336648	23682343354
MALLOC	0x60000351c000	48	1	src/logger.c:62:27	23682344961	23682348200
FREE	0x60000351c000	0	0	src/logger.c:71:5	23682359566	23682359899
FREE	0x600003b1c000	0	0	src/server.c:186:4	23682361802	23682361932
MALLOC	0x60000351c000	37	1	src/logger.c:62:27	23682375309	23682375636
FREE	0x60000351c000	0	0	src/logger.c:71:5	23682380541	23682380747
MALLOC	0x600003b1c000	17	1	src/server.c:174:14	23682394820	23682395052
MALLOC	0x60000351c000	48	1	src/logger.c:62:27	23682395513	23682395617
FREE	0x60000351c000	0	0	src/logger.c:71:5	23682398049	23682398179
FREE	0x600003b1c000	0	0	src/server.c:186:4	23682398869	23682398958
MALLOC	0x60000351c000	37	1	src/logger.c:62:27	23682408269	23682408458
FREE	0x60000351c000	0	0	src/logger.c:71:5	23682412229	23682412402
MALLOC	0x600003b1c000	17	1	src/server.c:174:14	23682415406	23682415584
MALLOC	0x60000351c000	48	1	src/logger.c:62:27	23682415992	23682416103
FREE	0x60000351c000	0	0	src/logger.c:71:5	23682419114	23682419247
FREE	0x600003b1c000	0	0	src/server.c:186:4	23682419976	23682420111
MALLOC	0x600003500000	37	1	src/logger.c:62:27	23682440962	23682446707
FREE	0x600003500000	0	0	src/logger.c:71:5	23682453386	23682453611
MALLOC	0x600003b00000	17	1	src/server.c:174:14	23682476044	23682479317
MALLOC	0x600003500000	48	1	src/logger.c:62:27	23682479784	23682479911
FREE	0x600003500000	0	0	src/logger.c:71:5	23682482453	23682482567
FREE	0x600003b00000	0	0	src/server.c:186:4	23682504559	23682504669
MALLOC	0x600003500000	37	1	src/logger.c:62:27	23682516633	23682516811
FREE	0x600003500000	0	0	src/logger.c:71:5	23682519727	23682519841
MALLOC	0x600003b00000	17	1	src/server.c:174:14	23682521892	23682522038
MALLOC	0x600003500000	48	1	src/logger.c:62:27	23682535469	23682535590
FREE	0x600003500000	0	0	src/logger.c:71:5	23682538045	23682538148
FREE	0x600003b00000	0	0	src/server.c:186:4	23682538747	23682538837
MALLOC	0x600003500000	37	1	src/logger.c:62:27	23682546526	23682546684
FREE	0x600003500000	0	0	src/logger.c:71:5	23682549303	23682549416
MALLOC	0x600003b00000	17	1	src/server.c:174:14	23689468656	23689469609
MALLOC	0x600003500000	48	1	src/logger.c:62:27	23689471172	23689471351
FREE	0x600003500000	0	0	src/logger.c:71:5	23689493595	23689493800
FREE	0x600003b00000	0	0	src/server.c:186:4	23689495040	23689495141
